rank,title,year,rating,rating_count,country
83,禁闭岛,2010,8.9,1121056,美国
84,心灵捕手,1997,9.0,819911,美国
85,致命魔术,2006,8.9,969450,英国
85,致命魔术,2006,8.9,969450,美国
86,低俗小说,1994,8.9,965923,美国
87,哈利·波特与密室,2002,8.9,923831,英国
87,哈利·波特与密室,2002,8.9,923831,美国
88,一一,2000,9.1,518872,中国台湾
88,一一,2000,9.1,518872,日本
89,超脱,2011,9.0,728592,美国
90,喜剧之王,1999,8.8,1102965,中国香港
91,杀人回忆,2003,8.9,844152,韩国
92,致命ID,2003,8.9,957104,美国
93,摩登时代,1936,9.3,349678,美国
94,春光乍泄,1997,9.0,713493,中国香港
94,春光乍泄,1997,9.0,713493,日本
94,春光乍泄,1997,9.0,713493,韩国
95,加勒比海盗,2003,8.8,975610,美国
96,海豚湾,2009,9.3,383835,美国
97,美国往事,1984,9.1,475395,美国
97,美国往事,1984,9.1,475395,意大利
98,红辣椒,2006,9.0,575802,日本
99,七宗罪,1995,8.8,1069806,美国
100,唐伯虎点秋香,1993,8.8,1232951,中国香港
101,狩猎,2012,9.1,475208,丹麦
101,狩猎,2012,9.1,475208,瑞典
102,幽灵公主,1997,8.9,675056,日本
103,寄生虫,2019,8.8,1557960,韩国
104,甜蜜蜜,1996,8.9,680000,中国香港
105,天书奇谭,1983,9.2,339255,中国大陆
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,美国
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,英国
107,超能陆战队,2014,8.8,1153823,美国
108,茶馆,1982,9.5,213117,中国大陆
109,7号房的礼物,2013,8.9,626384,韩国
110,第六感,1999,8.9,644302,美国
111,爱在黎明破晓前,1995,8.8,809921,美国
111,爱在黎明破晓前,1995,8.8,809921,奥地利
111,爱在黎明破晓前,1995,8.8,809921,瑞士
112,爱在日落黄昏时,2004,8.9,661102,美国
112,爱在日落黄昏时,2004,8.9,661102,法国
113,头脑特工队,2015,8.9,815225,美国
114,被嫌弃的松子的一生,2006,8.8,779568,日本
115,哈利·波特与火焰杯,2005,8.8,809525,英国
115,哈利·波特与火焰杯,2005,8.8,809525,美国
116,未麻的部屋,1997,9.1,430358,日本
117,重庆森林,1994,8.8,929656,中国香港
118,借东西的小人阿莉埃蒂,2010,8.9,632845,日本
119,菊次郎的夏天,1999,8.9,678783,日本
120,入殓师,2008,8.9,746913,日本
121,剪刀手爱德华,1990,8.7,1126446,美国
122,断背山,2005,8.8,788682,美国
122,断背山,2005,8.8,788682,加拿大
123,勇敢的心,1995,8.9,608835,美国
124,时空恋旅人,2013,8.8,801313,英国
124,时空恋旅人,2013,8.8,801313,美国
125,驯龙高手,2010,8.8,873269,美国
126,傲慢与偏见,2005,8.7,948461,法国
126,傲慢与偏见,2005,8.7,948461,英国
126,傲慢与偏见,2005,8.7,948461,美国
127,无人知晓,2004,9.1,376231,日本
128,消失的爱人,2014,8.7,1081133,美国
129,倩女幽魂,1987,8.8,841601,中国香港
130,新世界,2013,8.9,533855,韩国
131,玩具总动员3,2010,8.9,601537,美国
132,花样年华,2000,8.8,813970,中国香港
133,一个叫欧维的男人决定去死,2015,8.9,575294,瑞典
134,色，戒,2007,8.7,971342,中国台湾
134,色，戒,2007,8.7,971342,中国大陆
134,色，戒,2007,8.7,971342,美国
134,色，戒,2007,8.7,971342,中国香港
135,完美的世界,1993,9.1,363111,美国
136,怪兽电力公司,2001,8.8,776966,美国
137,教父3,1990,9.0,436930,美国
138,阳光灿烂的日子,1994,8.8,700985,中国大陆
138,阳光灿烂的日子,1994,8.8,700985,中国香港
139,小森林 夏秋篇,2014,9.0,477293,日本
140,天使爱美丽,2001,8.7,1025735,法国
140,天使爱美丽,2001,8.7,1025735,德国
141,侧耳倾听,1995,8.9,524651,日本
142,哪吒闹海,1979,9.2,311393,中国大陆
143,九品芝麻官,1994,8.8,802221,中国香港
144,被解救的姜戈,2012,8.8,698840,美国
145,请以你的名字呼唤我,2017,8.8,831942,意大利
145,请以你的名字呼唤我,2017,8.8,831942,法国
145,请以你的名字呼唤我,2017,8.8,831942,巴西
145,请以你的名字呼唤我,2017,8.8,831942,美国
146,幸福终点站,2004,8.8,647454,美国
147,釜山行,2016,8.6,1361025,韩国
148,神偷奶爸,2010,8.7,1054378,美国
148,神偷奶爸,2010,8.7,1054378,法国
149,小森林 冬春篇,2015,9.0,423879,日本
150,喜宴,1993,9.0,437249,中国台湾
150,喜宴,1993,9.0,437249,美国
151,萤火之森,2011,8.8,617325,日本
152,告白,2010,8.8,749521,日本
153,七武士,1954,9.3,238629,日本
154,玛丽和麦克斯,2009,9.0,474545,澳大利亚
154,玛丽和麦克斯,2009,9.0,474545,美国
155,头号玩家,2018,8.6,1528373,美国
156,机器人之梦,2023,9.1,453119,西班牙
156,机器人之梦,2023,9.1,453119,法国
157,模仿游戏,2014,8.8,725287,英国
157,模仿游戏,2014,8.8,725287,美国
158,惊魂记,1960,9.0,360873,美国
159,大鱼,2003,8.8,631342,美国
160,心灵奇旅,2020,8.7,1154040,美国
161,背靠背，脸对脸,1994,9.5,183184,中国大陆
161,背靠背，脸对脸,1994,9.5,183184,中国香港
162,你的名字。,2016,8.5,1606273,日本
163,血战钢锯岭,2016,8.7,865376,澳大利亚
163,血战钢锯岭,2016,8.7,865376,美国
164,射雕英雄传之东成西就,1993,8.7,723189,中国香港
165,我是山姆,2001,9.0,380062,美国
166,末路狂花,1991,9.0,356408,美国
166,末路狂花,1991,9.0,356408,英国
166,末路狂花,1991,9.0,356408,法国
167,阳光姐妹淘,2011,8.8,643002,韩国
168,恐怖直播,2013,8.7,733945,韩国
169,黑客帝国3：矩阵革命,2003,8.8,501481,美国
170,高山下的花环,1984,9.5,163747,中国大陆
171,小丑,2019,8.7,1132066,美国
171,小丑,2019,8.7,1132066,加拿大
172,谍影重重3,2007,8.9,475411,美国
172,谍影重重3,2007,8.9,475411,德国
172,谍影重重3,2007,8.9,475411,法国
172,谍影重重3,2007,8.9,475411,英国
173,三块广告牌,2017,8.7,927180,英国
173,三块广告牌,2017,8.7,927180,美国
174,无间道2,2003,8.8,574213,中国香港
175,电锯惊魂,2004,8.7,619307,美国
176,达拉斯买家俱乐部,2013,8.8,510532,美国
177,疯狂原始人,2013,8.7,928017,美国
178,绿里奇迹,1999,8.9,392455,美国
179,爱在午夜降临前,2013,8.8,480424,美国
179,爱在午夜降临前,2013,8.8,480424,希腊
180,疯狂的石头,2006,8.6,934049,中国大陆
180,疯狂的石头,2006,8.6,934049,中国香港
181,雨中曲,1952,9.1,272270,美国
182,2001太空漫游,1968,8.9,402047,英国
182,2001太空漫游,1968,8.9,402047,美国
183,海街日记,2015,8.8,527732,日本
184,上帝之城,2002,9.0,336137,巴西
184,上帝之城,2002,9.0,336137,法国
185,风之谷,1984,8.9,396563,日本
186,心迷宫,2014,8.7,624719,中国大陆
187,英雄本色,1986,8.6,611569,中国香港
188,记忆碎片,2000,8.7,710175,美国
189,纵横四海,1991,8.8,492601,中国香港
190,无敌破坏王,2012,8.7,617324,美国
191,卢旺达饭店,2004,8.9,370310,英国
191,卢旺达饭店,2004,8.9,370310,南非
191,卢旺达饭店,2004,8.9,370310,意大利
191,卢旺达饭店,2004,8.9,370310,美国
192,恐怖游轮,2009,8.5,1002260,英国
192,恐怖游轮,2009,8.5,1002260,澳大利亚
193,芙蓉镇,1987,9.3,194402,中国大陆
194,东京教父,2003,9.0,295405,日本
195,牯岭街少年杀人事件,1991,8.9,375340,中国台湾
196,小偷家族,2018,8.7,901692,日本
197,魔女宅急便,1989,8.7,529960,日本
198,冰川时代,2002,8.7,691085,美国
199,忠犬八公物语,1987,9.2,220795,日本
200,岁月神偷,2010,8.7,615765,中国香港
200,岁月神偷,2010,8.7,615765,中国大陆
