rank,title,year,rating,rating_count,genre
44,摔跤吧！爸爸,2016,9.0,1753571,家庭
45,少年派的奇幻漂流,2012,9.1,1495215,剧情
45,少年派的奇幻漂流,2012,9.1,1495215,奇幻
45,少年派的奇幻漂流,2012,9.1,1495215,冒险
46,钢琴家,2002,9.3,754155,剧情
46,钢琴家,2002,9.3,754155,传记
46,钢琴家,2002,9.3,754155,战争
46,钢琴家,2002,9.3,754155,音乐
47,死亡诗社,1989,9.2,890046,剧情
48,指环王2：双塔奇兵,2002,9.2,861849,剧情
48,指环王2：双塔奇兵,2002,9.2,861849,动作
48,指环王2：双塔奇兵,2002,9.2,861849,奇幻
48,指环王2：双塔奇兵,2002,9.2,861849,冒险
49,大话西游之月光宝盒,1995,9.0,1371832,喜剧
49,大话西游之月光宝盒,1995,9.0,1371832,爱情
49,大话西游之月光宝盒,1995,9.0,1371832,奇幻
49,大话西游之月光宝盒,1995,9.0,1371832,古装
50,绿皮书,2018,8.9,1902749,剧情
50,绿皮书,2018,8.9,1902749,喜剧
50,绿皮书,2018,8.9,1902749,传记
50,绿皮书,2018,8.9,1902749,音乐
51,何以为家,2018,9.1,1166888,剧情
52,闻香识女人,1992,9.1,1028610,剧情
53,大闹天宫,1961,9.4,513004,1964(中国大陆)
53,大闹天宫,1961,9.4,513004,1978(中国大陆)
53,大闹天宫,1961,9.4,513004,中国大陆
53,大闹天宫,1961,9.4,513004,剧情
53,大闹天宫,1961,9.4,513004,动画
53,大闹天宫,1961,9.4,513004,奇幻
53,大闹天宫,1961,9.4,513004,古装
54,黑客帝国,1999,9.1,955858,动作
54,黑客帝国,1999,9.1,955858,科幻
55,指环王1：护戒使者,2001,9.1,965186,剧情
55,指环王1：护戒使者,2001,9.1,965186,动作
55,指环王1：护戒使者,2001,9.1,965186,奇幻
55,指环王1：护戒使者,2001,9.1,965186,冒险
56,罗马假日,1953,9.1,1052601,喜剧
56,罗马假日,1953,9.1,1052601,剧情
56,罗马假日,1953,9.1,1052601,爱情
57,教父2,1974,9.3,644232,剧情
57,教父2,1974,9.3,644232,犯罪
58,狮子王,1994,9.1,966013,动画
58,狮子王,1994,9.1,966013,冒险
58,狮子王,1994,9.1,966013,歌舞
59,天堂电影院,1988,9.2,744511,剧情
59,天堂电影院,1988,9.2,744511,爱情
60,饮食男女,1994,9.2,730830,剧情
60,饮食男女,1994,9.2,730830,家庭
61,辩护人,2013,9.2,660591,剧情
62,本杰明·巴顿奇事,2008,9.0,1110555,剧情
62,本杰明·巴顿奇事,2008,9.0,1110555,爱情
62,本杰明·巴顿奇事,2008,9.0,1110555,奇幻
63,搏击俱乐部,1999,9.0,982106,剧情
63,搏击俱乐部,1999,9.0,982106,动作
63,搏击俱乐部,1999,9.0,982106,悬疑
63,搏击俱乐部,1999,9.0,982106,惊悚
64,美丽心灵,2001,9.1,856956,传记
64,美丽心灵,2001,9.1,856956,剧情
65,穿条纹睡衣的男孩,2008,9.2,645090,剧情
65,穿条纹睡衣的男孩,2008,9.2,645090,战争
66,哈利·波特与死亡圣器(下),2011,9.0,976352,奇幻
66,哈利·波特与死亡圣器(下),2011,9.0,976352,冒险
67,两杆大烟枪,1998,9.1,682108,剧情
67,两杆大烟枪,1998,9.1,682108,喜剧
67,两杆大烟枪,1998,9.1,682108,犯罪
68,情书,1995,8.9,1333804,剧情
68,情书,1995,8.9,1333804,爱情
69,窃听风暴,2006,9.2,635216,剧情
69,窃听风暴,2006,9.2,635216,悬疑
70,功夫,2004,8.9,1345471,动作
70,功夫,2004,8.9,1345471,喜剧
70,功夫,2004,8.9,1345471,犯罪
70,功夫,2004,8.9,1345471,奇幻
71,音乐之声,1965,9.1,687832,剧情
71,音乐之声,1965,9.1,687832,传记
71,音乐之声,1965,9.1,687832,爱情
71,音乐之声,1965,9.1,687832,歌舞
72,哈利·波特与阿兹卡班的囚徒,2004,9.0,897169,奇幻
72,哈利·波特与阿兹卡班的囚徒,2004,9.0,897169,冒险
73,阿凡达,2009,8.8,1593283,动作
73,阿凡达,2009,8.8,1593283,科幻
73,阿凡达,2009,8.8,1593283,冒险
74,西西里的美丽传说,2000,8.9,1098421,剧情
74,西西里的美丽传说,2000,8.9,1098421,战争
74,西西里的美丽传说,2000,8.9,1098421,情色
75,看不见的客人,2016,8.8,1448740,剧情
75,看不见的客人,2016,8.8,1448740,犯罪
75,看不见的客人,2016,8.8,1448740,悬疑
75,看不见的客人,2016,8.8,1448740,惊悚
76,拯救大兵瑞恩,1998,9.1,729323,剧情
76,拯救大兵瑞恩,1998,9.1,729323,战争
77,沉默的羔羊,1991,8.9,1022239,剧情
77,沉默的羔羊,1991,8.9,1022239,犯罪
77,沉默的羔羊,1991,8.9,1022239,惊悚
78,小鞋子,1997,9.2,470217,剧情
78,小鞋子,1997,9.2,470217,儿童
78,小鞋子,1997,9.2,470217,家庭
79,蝴蝶效应,2004,8.9,1074766,剧情
79,蝴蝶效应,2004,8.9,1074766,悬疑
79,蝴蝶效应,2004,8.9,1074766,科幻
79,蝴蝶效应,2004,8.9,1074766,惊悚
80,布达佩斯大饭店,2014,8.9,1091967,剧情
80,布达佩斯大饭店,2014,8.9,1091967,喜剧
80,布达佩斯大饭店,2014,8.9,1091967,冒险
81,还有明天,2023,9.3,380089,剧情
81,还有明天,2023,9.3,380089,喜剧
81,还有明天,2023,9.3,380089,历史
82,飞越疯人院,1975,9.1,608634,剧情
83,禁闭岛,2010,8.9,1121056,剧情
83,禁闭岛,2010,8.9,1121056,悬疑
83,禁闭岛,2010,8.9,1121056,惊悚
84,心灵捕手,1997,9.0,819911,剧情
85,致命魔术,2006,8.9,969450,剧情
85,致命魔术,2006,8.9,969450,悬疑
85,致命魔术,2006,8.9,969450,惊悚
86,低俗小说,1994,8.9,965923,剧情
86,低俗小说,1994,8.9,965923,喜剧
86,低俗小说,1994,8.9,965923,犯罪
87,哈利·波特与密室,2002,8.9,923831,奇幻
87,哈利·波特与密室,2002,8.9,923831,冒险
88,一一,2000,9.1,518872,剧情
88,一一,2000,9.1,518872,爱情
88,一一,2000,9.1,518872,家庭
89,超脱,2011,9.0,728592,剧情
90,喜剧之王,1999,8.8,1102965,喜剧
90,喜剧之王,1999,8.8,1102965,剧情
90,喜剧之王,1999,8.8,1102965,爱情
91,杀人回忆,2003,8.9,844152,剧情
91,杀人回忆,2003,8.9,844152,动作
91,杀人回忆,2003,8.9,844152,犯罪
91,杀人回忆,2003,8.9,844152,悬疑
91,杀人回忆,2003,8.9,844152,惊悚
92,致命ID,2003,8.9,957104,剧情
92,致命ID,2003,8.9,957104,悬疑
92,致命ID,2003,8.9,957104,惊悚
93,摩登时代,1936,9.3,349678,剧情
93,摩登时代,1936,9.3,349678,喜剧
93,摩登时代,1936,9.3,349678,爱情
94,春光乍泄,1997,9.0,713493,剧情
94,春光乍泄,1997,9.0,713493,爱情
94,春光乍泄,1997,9.0,713493,同性
95,加勒比海盗,2003,8.8,975610,动作
95,加勒比海盗,2003,8.8,975610,冒险
95,加勒比海盗,2003,8.8,975610,奇幻
96,海豚湾,2009,9.3,383835,纪录片
97,美国往事,1984,9.1,475395,犯罪
97,美国往事,1984,9.1,475395,剧情
98,红辣椒,2006,9.0,575802,动画
98,红辣椒,2006,9.0,575802,悬疑
98,红辣椒,2006,9.0,575802,科幻
98,红辣椒,2006,9.0,575802,惊悚
99,七宗罪,1995,8.8,1069806,剧情
99,七宗罪,1995,8.8,1069806,犯罪
99,七宗罪,1995,8.8,1069806,悬疑
99,七宗罪,1995,8.8,1069806,惊悚
100,唐伯虎点秋香,1993,8.8,1232951,喜剧
100,唐伯虎点秋香,1993,8.8,1232951,爱情
100,唐伯虎点秋香,1993,8.8,1232951,古装
101,狩猎,2012,9.1,475208,剧情
102,幽灵公主,1997,8.9,675056,动画
102,幽灵公主,1997,8.9,675056,奇幻
102,幽灵公主,1997,8.9,675056,冒险
103,寄生虫,2019,8.8,1557960,剧情
104,甜蜜蜜,1996,8.9,680000,剧情
104,甜蜜蜜,1996,8.9,680000,爱情
105,天书奇谭,1983,9.2,339255,2021
105,天书奇谭,1983,9.2,339255,中国大陆
105,天书奇谭,1983,9.2,339255,动画
105,天书奇谭,1983,9.2,339255,奇幻
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,剧情
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,动作
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,科幻
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,犯罪
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,惊悚
107,超能陆战队,2014,8.8,1153823,喜剧
107,超能陆战队,2014,8.8,1153823,动作
107,超能陆战队,2014,8.8,1153823,科幻
107,超能陆战队,2014,8.8,1153823,动画
107,超能陆战队,2014,8.8,1153823,冒险
108,茶馆,1982,9.5,213117,中国大陆
108,茶馆,1982,9.5,213117,剧情
108,茶馆,1982,9.5,213117,历史
109,7号房的礼物,2013,8.9,626384,剧情
109,7号房的礼物,2013,8.9,626384,喜剧
109,7号房的礼物,2013,8.9,626384,家庭
110,第六感,1999,8.9,644302,剧情
110,第六感,1999,8.9,644302,悬疑
110,第六感,1999,8.9,644302,惊悚
111,爱在黎明破晓前,1995,8.8,809921,剧情
111,爱在黎明破晓前,1995,8.8,809921,爱情
112,爱在日落黄昏时,2004,8.9,661102,剧情
112,爱在日落黄昏时,2004,8.9,661102,爱情
113,头脑特工队,2015,8.9,815225,喜剧
113,头脑特工队,2015,8.9,815225,动画
113,头脑特工队,2015,8.9,815225,冒险
114,被嫌弃的松子的一生,2006,8.8,779568,剧情
114,被嫌弃的松子的一生,2006,8.8,779568,歌舞
115,哈利·波特与火焰杯,2005,8.8,809525,悬疑
115,哈利·波特与火焰杯,2005,8.8,809525,奇幻
115,哈利·波特与火焰杯,2005,8.8,809525,冒险
116,未麻的部屋,1997,9.1,430358,剧情
116,未麻的部屋,1997,9.1,430358,犯罪
116,未麻的部屋,1997,9.1,430358,动画
116,未麻的部屋,1997,9.1,430358,悬疑
116,未麻的部屋,1997,9.1,430358,惊悚
117,重庆森林,1994,8.8,929656,剧情
