rank,title,year,rating,rating_count,genre
196,小偷家族,2018,8.7,901692,剧情
196,小偷家族,2018,8.7,901692,犯罪
196,小偷家族,2018,8.7,901692,家庭
197,魔女宅急便,1989,8.7,529960,动画
197,魔女宅急便,1989,8.7,529960,奇幻
197,魔女宅急便,1989,8.7,529960,冒险
198,冰川时代,2002,8.7,691085,喜剧
198,冰川时代,2002,8.7,691085,动画
198,冰川时代,2002,8.7,691085,冒险
199,忠犬八公物语,1987,9.2,220795,剧情
200,岁月神偷,2010,8.7,615765,剧情
200,岁月神偷,2010,8.7,615765,家庭
