rank,title,original_title,people_info,year,country_text,genre_text,rating,rating_count,quote,detail_url,source_url,fetched_at,decade
78,小鞋子,بچه های آسمان,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 / 儿童 / 家庭,9.2,470217,,https://movie.douban.com/subject/1303021/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
79,蝴蝶效应,The Butterfly Effect,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主...,2004,美国 / 加拿大,剧情 / 悬疑 / 科幻 / 惊悚,8.9,1074766,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
80,布达佩斯大饭店,The Grand Budapest Hotel,导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 / 德国 / 英国,剧情 / 喜剧 / 冒险,8.9,1091967,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2010
81,还有明天,C'è ancora domani,导演: 宝拉·柯特莱西 Paola Cortellesi 主演: 宝拉·柯特莱西 Paola Corte...,2023,意大利,剧情 / 喜剧 / 历史,9.3,380089,,https://movie.douban.com/subject/36445098/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2020
82,飞越疯人院,One Flew Over the Cuckoo's Nest,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.1,608634,,https://movie.douban.com/subject/1292224/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1970
83,禁闭岛,Shutter Island,导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 / 悬疑 / 惊悚,8.9,1121056,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2010
84,心灵捕手,Good Will Hunting,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,9.0,819911,,https://movie.douban.com/subject/1292656/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
85,致命魔术,The Prestige,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman...,2006,英国 / 美国,剧情 / 悬疑 / 惊悚,8.9,969450,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
86,低俗小说,Pulp Fiction,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 / 喜剧 / 犯罪,8.9,965923,,https://movie.douban.com/subject/1291832/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
87,哈利·波特与密室,Harry Potter and the Chamber of Secrets,导演: Chris Columbus 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 / 美国,奇幻 / 冒险,8.9,923831,,https://movie.douban.com/subject/1296996/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
88,一一,,导演: 杨德昌 Edward Yang 主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 / 日本,剧情 / 爱情 / 家庭,9.1,518872,,https://movie.douban.com/subject/1292434/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
89,超脱,Detachment,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,9.0,728592,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2010
90,喜剧之王,喜劇之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch...,1999,中国香港,喜剧 / 剧情 / 爱情,8.8,1102965,,https://movie.douban.com/subject/1302425/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
91,杀人回忆,살인의 추억,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,8.9,844152,,https://movie.douban.com/subject/1300299/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
92,致命ID,Identity,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 / 悬疑 / 惊悚,8.9,957104,,https://movie.douban.com/subject/1297192/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
93,摩登时代,Modern Times,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ...,1936,美国,剧情 / 喜剧 / 爱情,9.3,349678,,https://movie.douban.com/subject/1294371/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1930
94,春光乍泄,春光乍洩,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 / 日本 / 韩国,剧情 / 爱情 / 同性,9.0,713493,,https://movie.douban.com/subject/1292679/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
95,加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ...,2003,美国,动作 / 冒险 / 奇幻,8.8,975610,,https://movie.douban.com/subject/1298070/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
96,海豚湾,The Cove,导演: 路易·西霍尤斯 Louie Psihoyos 主演: 路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,9.3,383835,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
97,美国往事,Once Upon a Time in America,导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ...,1984,美国 / 意大利,犯罪 / 剧情,9.1,475395,,https://movie.douban.com/subject/1292262/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1980
98,红辣椒,パプリカ,导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 / 悬疑 / 科幻 / 惊悚,9.0,575802,梦的勾结。,https://movie.douban.com/subject/1865703/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,2000
99,七宗罪,Se7en,导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 / 犯罪 / 悬疑 / 惊悚,8.8,1069806,,https://movie.douban.com/subject/1292223/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
100,唐伯虎点秋香,唐伯虎點秋香,导演: 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 / 爱情 / 古装,8.8,1232951,,https://movie.douban.com/subject/1306249/,https://movie.douban.com/top250?start=75&filter=,2026-06-26T20:43:20+08:00,1990
101,狩猎,Jagten,导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik...,2012,丹麦 / 瑞典,剧情,9.1,475208,人言可畏。,https://movie.douban.com/subject/6985810/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
102,幽灵公主,もののけ姫,导演: 宫崎骏 Hayao Miyazaki 主演: 松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 / 奇幻 / 冒险,8.9,675056,,https://movie.douban.com/subject/1297359/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
103,寄生虫,기생충,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,8.8,1557960,,https://movie.douban.com/subject/27010768/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
104,甜蜜蜜,,导演: 陈可辛 Peter Chan 主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 / 爱情,8.9,680000,,https://movie.douban.com/subject/1305164/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
105,天书奇谭,,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian 主演: 丁建华 Jianhua Din...,1983,(中国大陆),2021 / 中国大陆 / 动画 / 奇幻,9.2,339255,,https://movie.douban.com/subject/1428581/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1980
106,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,2012,美国 / 英国,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,8.9,820100,诺兰就是保证。,https://movie.douban.com/subject/3395373/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
107,超能陆战队,Big Hero 6,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams 主演: 斯科特...,2014,美国,喜剧 / 动作 / 科幻 / 动画 / 冒险,8.8,1153823,Balalala~~~,https://movie.douban.com/subject/11026735/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
108,茶馆,,导演: 谢添 Tian Xie 主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982,(中国大陆),中国大陆 / 剧情 / 历史,9.5,213117,,https://movie.douban.com/subject/1461403/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1980
109,7号房的礼物,7번방의 선물,导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 / 喜剧 / 家庭,8.9,626384,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
110,第六感,The Sixth Sense,导演: M·奈特·沙马兰 M. Night Shyamalan 主演: 布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 / 悬疑 / 惊悚,8.9,644302,,https://movie.douban.com/subject/1297630/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
111,爱在黎明破晓前,Before Sunrise,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,1995,美国 / 奥地利 / 瑞士,剧情 / 爱情,8.8,809921,,https://movie.douban.com/subject/1296339/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
112,爱在日落黄昏时,Before Sunset,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,2004,美国 / 法国,剧情 / 爱情,8.9,661102,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2000
113,头脑特工队,Inside Out,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb...,2015,美国,喜剧 / 动画 / 冒险,8.9,815225,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
114,被嫌弃的松子的一生,嫌われ松子の一生,导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 / 歌舞,8.8,779568,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2000
115,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,导演: 迈克·内威尔 Mike Newell 主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 / 美国,悬疑 / 奇幻 / 冒险,8.8,809525,,https://movie.douban.com/subject/1309055/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2000
116,未麻的部屋,Perfect Blue,导演: 今敏 Satoshi Kon 主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,剧情 / 犯罪 / 动画 / 悬疑 / 惊悚,9.1,430358,,https://movie.douban.com/subject/1395091/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
117,重庆森林,重慶森林,导演: 王家卫 Kar Wai Wong 主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 / 爱情,8.8,929656,,https://movie.douban.com/subject/1291999/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
118,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,导演: 米林宏昌 Hiromasa Yonebayashi 主演: 志田未来 Mirai Shida / 神木...,2010,日本,动画 / 奇幻 / 冒险,8.9,632845,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
119,菊次郎的夏天,菊次郎の夏,导演: 北野武 Takeshi Kitano 主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 / 喜剧,8.9,678783,,https://movie.douban.com/subject/1293359/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
120,入殓师,おくりびと,导演: 泷田洋二郎 Yôjirô Takita 主演: 本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,8.9,746913,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2000
121,剪刀手爱德华,Edward Scissorhands,导演: 蒂姆·波顿 Tim Burton 主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 / 爱情 / 奇幻,8.7,1126446,,https://movie.douban.com/subject/1292370/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
122,断背山,Brokeback Mountain,导演: 李安 Ang Lee 主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 / 加拿大,剧情 / 爱情 / 同性 / 家庭,8.8,788682,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2000
123,勇敢的心,Braveheart,导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 / 传记 / 剧情 / 历史 / 战争,8.9,608835,,https://movie.douban.com/subject/1294639/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,1990
124,时空恋旅人,About Time,导演: 理查德·柯蒂斯 Richard Curtis 主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国 / 美国,喜剧 / 爱情 / 奇幻,8.8,801313,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
125,驯龙高手,How to Train Your Dragon,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders 主演:...,2010,美国,动画 / 奇幻 / 冒险,8.8,873269,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,https://movie.douban.com/top250?start=100&filter=,2026-06-26T20:43:20+08:00,2010
126,傲慢与偏见,Pride & Prejudice,导演: 乔·怀特 Joe Wright 主演: 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 / 英国 / 美国,剧情 / 爱情,8.7,948461,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
127,无人知晓,誰も知らない,导演: 是枝裕和 Hirokazu Koreeda 主演: 柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,9.1,376231,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
128,消失的爱人,Gone Girl,导演: 大卫·芬奇 David Fincher 主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 / 犯罪 / 悬疑 / 惊悚,8.7,1081133,年度最佳date movie。,https://movie.douban.com/subject/21318488/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
129,倩女幽魂,,导演: 程小东 Siu-Tung Ching 主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 / 奇幻 / 武侠 / 古装,8.8,841601,,https://movie.douban.com/subject/1297447/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1980
130,新世界,신세계,导演: 朴勋政 Hoon-jung Park 主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 / 犯罪,8.9,533855,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
131,玩具总动员3,Toy Story 3,导演: 李·昂克里奇 Lee Unkrich 主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 / 动画 / 奇幻 / 冒险,8.9,601537,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
132,花样年华,花樣年華,导演: 王家卫 Kar Wai Wong 主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,剧情 / 爱情,8.8,813970,,https://movie.douban.com/subject/1291557/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
133,一个叫欧维的男人决定去死,En man som heter Ove,导演: 汉内斯·赫尔姆 Hannes Holm 主演: 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,8.9,575294,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
134,色，戒,,导演: 李安 Ang Lee 主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,中国台湾 / 中国大陆 / 美国 / 中国香港,剧情 / 爱情 / 情色,8.7,971342,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
135,完美的世界,A Perfect World,导演: 克林特·伊斯特伍德 Clint Eastwood 主演: 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 / 犯罪,9.1,363111,,https://movie.douban.com/subject/1300992/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
136,怪兽电力公司,"Monsters, Inc.",导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman 主演: 约...,2001,美国,儿童 / 喜剧 / 动画 / 奇幻 / 冒险,8.8,776966,,https://movie.douban.com/subject/1291579/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
137,教父3,The Godfather: Part III,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...,1990,美国,剧情 / 犯罪,9.0,436930,,https://movie.douban.com/subject/1294240/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
138,阳光灿烂的日子,,导演: 姜文 Wen Jiang 主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 / 中国香港,剧情 / 爱情,8.8,700985,,https://movie.douban.com/subject/1291875/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
139,小森林 夏秋篇,リトル・フォレスト 夏・秋,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,9.0,477293,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
140,天使爱美丽,Le Fabuleux destin d'Amélie Poulain,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet 主演: 奥黛丽·塔图 Audrey Tau...,2001,法国 / 德国,剧情 / 喜剧 / 爱情,8.7,1025735,,https://movie.douban.com/subject/1292215/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
141,侧耳倾听,耳をすませば,导演: 近藤喜文 Yoshifumi Kondo 主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 / 爱情 / 动画,8.9,524651,,https://movie.douban.com/subject/1297052/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
142,哪吒闹海,,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan 主演: 梁正晖 Zhenghui ...,1979,中国大陆,冒险 / 动画 / 奇幻,9.2,311393,,https://movie.douban.com/subject/1307315/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1970
143,九品芝麻官,,导演: 王晶 Jing Wong 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港,剧情 / 喜剧 / 古装,8.8,802221,,https://movie.douban.com/subject/1297518/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
144,被解救的姜戈,Django Unchained,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 / 动作 / 西部 / 冒险,8.8,698840,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
145,请以你的名字呼唤我,Call Me by Your Name,导演: 卢卡·瓜达尼诺 Luca Guadagnino 主演: 艾米·汉莫 Armie Hammer / ...,2017,意大利 / 法国 / 巴西 / 美国,剧情 / 爱情 / 同性,8.8,831942,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
146,幸福终点站,The Terminal,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 / 剧情 / 爱情,8.8,647454,有时候幸福需要等一等。,https://movie.douban.com/subject/1292274/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2000
147,釜山行,부산행,导演: 延尚昊 Sang-ho Yeon 主演: 孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 / 惊悚 / 灾难,8.6,1361025,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
148,神偷奶爸,Despicable Me,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud 主演: ...,2010,美国 / 法国,喜剧 / 动画 / 冒险,8.7,1054378,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
149,小森林 冬春篇,リトル・フォレスト 冬・春,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,9.0,423879,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,2010
150,喜宴,囍宴,导演: 李安 Ang Lee 主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993,中国台湾 / 美国,剧情 / 喜剧 / 爱情 / 同性 / 家庭,9.0,437249,,https://movie.douban.com/subject/1303037/,https://movie.douban.com/top250?start=125&filter=,2026-06-26T20:43:20+08:00,1990
151,萤火之森,蛍火の杜へ,导演: 大森贵弘 Takahiro Omori 主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 / 爱情 / 动画 / 奇幻,8.8,617325,触不到的恋人。,https://movie.douban.com/subject/5989818/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
152,告白,,导演: 中岛哲也 Tetsuya Nakashima 主演: 松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 / 悬疑,8.8,749521,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
153,七武士,七人の侍,导演: 黑泽明 Akira Kurosawa 主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 / 冒险 / 剧情,9.3,238629,,https://movie.douban.com/subject/1295399/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1950
154,玛丽和麦克斯,Mary and Max,导演: 亚当·艾略特 Adam Elliot 主演: 托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 / 美国,剧情 / 喜剧 / 动画,9.0,474545,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
155,头号玩家,Ready Player One,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 泰伊·谢里丹 Tye Sheri...,2018,美国,动作 / 科幻 / 冒险,8.6,1528373,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
156,机器人之梦,Robot Dreams,导演: 巴勃罗·贝格尔 Pablo Berger 主演: 伊万·拉班达 Ivan Labanda,2023,西班牙 / 法国,剧情 / 动画 / 音乐,9.1,453119,,https://movie.douban.com/subject/35426925/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2020
157,模仿游戏,The Imitation Game,导演: 莫滕·泰杜姆 Morten Tyldum 主演: 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 / 美国,剧情 / 传记 / 战争 / 同性,8.8,725287,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
158,惊魂记,Psycho,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock 主演: 安东尼·博金斯 Antho...,1960,美国,悬疑 / 惊悚 / 恐怖,9.0,360873,,https://movie.douban.com/subject/1293181/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1960
159,大鱼,Big Fish,导演: 蒂姆·波顿 Tim Burton 主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 / 爱情 / 奇幻 / 冒险,8.8,631342,,https://movie.douban.com/subject/1291545/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
